iter	MultiClass
0	1.024580783
1	0.9502586387
2	0.8849624624
3	0.826991773
4	0.7814416154
5	0.7323403168
6	0.6915555397
7	0.6615014901
8	0.6311109918
9	0.6002548517
10	0.5669769457
11	0.5409103608
12	0.5206894673
13	0.4976728986
14	0.4778847486
15	0.4567073024
16	0.4404135057
17	0.4259164346
18	0.4111364534
19	0.3981519428
20	0.3864058646
21	0.3774675155
22	0.3661924996
23	0.3544595449
24	0.3467872545
25	0.3381209555
26	0.3294447644
27	0.3211699164
28	0.3115417616
29	0.3053851243
30	0.3009822652
31	0.2940287089
32	0.2873143724
33	0.2813872292
34	0.2763156117
35	0.2707434501
36	0.265834401
37	0.2619415757
38	0.2582574631
39	0.2552930796
40	0.2517919345
41	0.2479869887
42	0.243699956
43	0.2393564404
44	0.2359081447
45	0.2320146211
46	0.2301186577
47	0.2282048082
48	0.2246548257
49	0.2214079678
50	0.2197822487
51	0.2159842177
52	0.2122522876
53	0.209133294
54	0.2053019374
55	0.2035200233
56	0.2014782832
57	0.1989752845
58	0.1974704921
59	0.1943180342
60	0.191157816
61	0.1890343102
62	0.186727911
63	0.1848296252
64	0.181365279
65	0.1798105339
66	0.177088926
67	0.1747619954
68	0.1739996625
69	0.1706097428
70	0.1693854549
71	0.1672517475
72	0.1647575309
73	0.1620438133
74	0.1596835657
75	0.1571074539
76	0.1553042998
77	0.1529995146
78	0.1522313574
79	0.1499890861
80	0.1475755629
81	0.1454101807
82	0.1439773209
83	0.142358747
84	0.1403166439
85	0.1383837281
86	0.1373404848
87	0.135697935
88	0.1340376782
89	0.1324310507
90	0.1307196274
91	0.1295693376
92	0.1284833495
93	0.1272486643
94	0.1267738915
95	0.1249405144
96	0.1234169846
97	0.122354808
98	0.1207624238
99	0.1198127253
100	0.1188284722
101	0.1172848479
102	0.1162714228
103	0.1156741367
104	0.1148283422
105	0.1142295345
106	0.1133961196
107	0.112345986
108	0.110802413
109	0.1099559403
110	0.1094878378
111	0.1086630263
112	0.1077902206
113	0.1070655672
114	0.1062233466
115	0.1057970397
116	0.1048166771
117	0.1039578838
118	0.1032930536
119	0.1027790226
120	0.101619876
121	0.1004219028
122	0.09942290433
123	0.09854895502
124	0.09807777699
125	0.09704060927
126	0.09639375115
127	0.09589044286
128	0.09535076775
129	0.09482703
130	0.09431366348
131	0.09348150123
132	0.09271432867
133	0.09167349255
134	0.09078758193
135	0.08978010027
136	0.08911576944
137	0.08795899156
138	0.08716569359
139	0.08619922152
140	0.08538876935
141	0.08468733625
142	0.08418063342
143	0.0835877215
144	0.08318322246
145	0.08259071271
146	0.08124881787
147	0.08092905349
148	0.0802587709
149	0.07953448968
150	0.07917830273
151	0.07844977647
152	0.07779627971
153	0.0774830317
154	0.0769774379
155	0.07632368438
156	0.07611763314
157	0.07553311499
158	0.07508096446
159	0.07467565219
160	0.07386360038
161	0.0734486604
162	0.07286124532
163	0.07234274215
164	0.07196760574
165	0.07134559668
166	0.07068394691
167	0.07029938378
168	0.07007224244
169	0.06970544046
170	0.06951706205
171	0.06894319707
172	0.06825564975
173	0.06786430481
174	0.067176069
175	0.06659170596
176	0.06611830754
177	0.06553572157
178	0.06491661551
179	0.06449472925
180	0.06407904021
181	0.06359719249
182	0.06335627561
183	0.06275613648
184	0.06243888109
185	0.06214917345
186	0.06199171173
187	0.06174142688
188	0.06118995853
189	0.06075253615
190	0.06052237707
191	0.06026997445
192	0.06001112368
193	0.0595355711
194	0.05912396359
195	0.05864650046
196	0.05833923979
197	0.05794515828
198	0.0574904094
199	0.05706600876
